################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.1888389350100683E-02   2.9885837327960968E-01   1.3848247561758811E-01   2.7376804163828615E-02
         1          2   0.0000000000000000E+00   8.7275841619326486E-02   9.1926050836317694E-04   3.8227588040111856E-03
         1          3   0.0000000000000000E+00   8.3171822568877174E-02   9.5690525390675746E-04   4.2004970950337648E-03
         1          4   1.4218929169936714E-01   3.5787997996534299E-01   2.6084897271967300E-01   2.4178274528415641E-02
         1          5   1.2196791926070927E-01   7.8207565655140698E-01   4.0443310526109616E-01   8.0098348066821423E-02
         1          6   0.0000000000000000E+00   2.7646160757257104E-01   4.9685234067251179E-03   1.7283741180467490E-02
         1          7   0.0000000000000000E+00   2.6018055257590167E-01   4.8945738288129160E-03   1.7481766777769369E-02
         1          8   2.6922501925167319E-01   6.1024104163464532E-01   4.5036446122466045E-01   5.4360085383940854E-02
         1          9   2.2933986237189397E-01   1.4520331659760792E+00   8.1602994420852903E-01   1.7015842959320168E-01
         1         10   0.0000000000000000E+00   5.7021447153195892E-01   1.8339250559991992E-02   5.2287150530306553E-02
         1         11   0.0000000000000000E+00   5.4966582790168583E-01   1.7628635115659083E-02   5.0944211542448013E-02
         1         12   2.8458655378948355E-01   8.3662542544997487E-01   5.6215646671255648E-01   8.8347637711510302E-02
         1         13   2.2897519556299797E-01   2.0460516922379637E+00   1.1990697917335058E+00   2.6645616178215220E-01
         1         14   0.0000000000000000E+00   8.1183153347412551E-01   4.7506920083462523E-02   1.0968242437121242E-01
         1         15   0.0000000000000000E+00   7.9834869699423927E-01   4.5551640724197026E-02   1.0626060050804079E-01
         1         16   1.6238959583213775E-01   1.0371281052867003E+00   6.0712053194135684E-01   1.2437919267624176E-01
         1         17   1.6625363209050206E-01   2.3438751341963200E+00   1.3682814897173050E+00   3.2988415451857495E-01
         1         18   0.0000000000000000E+00   8.9894710605018657E-01   8.8442958943662442E-02   1.6719287266214738E-01
         1         19   0.0000000000000000E+00   8.9695244525422479E-01   8.5413270300627661E-02   1.6305158708627443E-01
         1         20   8.3504324263311808E-02   1.1631501711831678E+00   6.5140323325522742E-01   1.6183127674704223E-01
         1         21   1.6676607348212139E-01   2.1472345049124262E+00   1.2786236980095356E+00   3.3200476483329122E-01
         1         22   0.0000000000000000E+00   7.9574074515331439E-01   1.2023985833816604E-01   1.9289361688418302E-01
         1         23   0.0000000000000000E+00   7.7373810852666103E-01   1.1699451252872524E-01   1.8907479723828655E-01
         1         24   7.0764415336438236E-02   1.1180755904373378E+00   6.4237729671130706E-01   1.6980289057929251E-01
         1         25   9.9069848855249651E-02   1.6406118771850877E+00   9.8776495663437158E-01   2.7025199714092757E-01
         1         26   0.0000000000000000E+00   5.6967660219986782E-01   1.2037389798050467E-01   1.7120185097700555E-01
         1         27   0.0000000000000000E+00   5.7220073265149807E-01   1.1771249457545155E-01   1.6819494855253708E-01
         1         28   5.5942074169814539E-02   8.8600716158951676E-01   5.0976196370121418E-01   1.4027575017042118E-01
         1         29   5.4242563732711954E-02   1.0224913378337128E+00   6.1260798229198987E-01   1.7550456163460915E-01
         1         30   0.0000000000000000E+00   3.4304026361462669E-01   8.9031300863036927E-02   1.1631285154154067E-01
         1         31   0.0000000000000000E+00   3.4081881386445273E-01   8.7418711131997492E-02   1.1463169817805670E-01
         1         32   3.0550352860517237E-02   5.3229988733304179E-01   3.1125000950944154E-01   9.0574552036591705E-02
         1         33   2.7547768688388728E-02   5.0388183878881665E-01   2.9491799466415053E-01   8.8515165877107643E-02
         1         34   0.0000000000000000E+00   1.6627683260039886E-01   4.8602391233422519E-02   5.9723758411053721E-02
         1         35   0.0000000000000000E+00   1.6534783296386873E-01   4.7953747573890766E-02   5.9152433597239033E-02
         1         36   1.1365116127571807E-02   2.6020276250569768E-01   1.4690481213831469E-01   4.5293980172255020E-02
         1         37   1.1709638274491499E-02   1.8859672234535674E-01   1.0759728061267501E-01   3.3751602213903560E-02
         1         38   0.0000000000000000E+00   6.2211147974908829E-02   1.9442674814729725E-02   2.2825830193214630E-02
         1         39   0.0000000000000000E+00   6.2338205398825598E-02   1.9285078993032508E-02   2.2727474121239617E-02
         1         40   3.5118255347833570E-03   9.7981963594932012E-02   5.3479762713204031E-02   1.7346861752680586E-02
         1         41   1.6231563749774847E-04   8.3102537361096629E-02   2.4995300031653164E-02   1.0120054913963698E-02
         1         42   0.0000000000000000E+00   1.9159112867431195E-02   8.1750477139274323E-04   1.7352003302816127E-03
         1         43   0.0000000000000000E+00   2.0320847885345054E-02   7.8544948741528795E-04   1.7053256731503230E-03
         1         44   3.4075458220248866E-03   1.1302101763639452E-01   4.5607244734526674E-02   1.5577724334924039E-02
         1         45   0.0000000000000000E+00   1.2331932847012424E-02   2.7088214494124348E-04   8.1866299402004472E-04
         1         46   0.0000000000000000E+00   2.5309933418077312E-02   5.4851425628284840E-04   1.6692918414470995E-03
         1         47   0.0000000000000000E+00   2.9141589229099308E-02   1.0885285036214346E-03   2.5168018342269813E-03
         1         48   0.0000000000000000E+00   1.1493875639372444E-02   2.5559388563237752E-04   7.7928220211630358E-04
         1         49   0.0000000000000000E+00   2.7678241411009361E-02   1.0533928322246150E-03   2.4854302751097820E-03
         1         50   6.9038443605528625E-05   3.9621107245391814E-02   1.6448682555224650E-02   6.1761161690072576E-03
         1         51   2.9105790810922722E-03   1.7553758936875352E-01   6.6022737046261340E-02   2.2698269282940407E-02
         1         52   0.0000000000000000E+00   2.2412129054387983E-02   1.3284855113643869E-03   2.2821462688670381E-03
         1         53   0.0000000000000000E+00   2.2573223722853940E-02   1.2666082882533544E-03   2.1992384602225424E-03
         1         54   4.4763101521572347E-02   3.1244392399860171E-01   1.6784630195433425E-01   3.7775560574136835E-02
         1         55   0.0000000000000000E+00   3.4541213363377940E-02   1.4907079313760125E-03   3.6461665950309257E-03
         1         56   0.0000000000000000E+00   1.3771566561191947E-01   5.5719747134758491E-03   1.3892519230465738E-02
         1         57   0.0000000000000000E+00   1.4873456758611870E-02   1.0558878870730356E-03   1.8010508219629396E-03
         1         58   0.0000000000000000E+00   3.2879045819937919E-02   1.4247929882720059E-03   3.5466186581999733E-03
         1         59   0.0000000000000000E+00   1.3239573192336193E-02   9.8860857922719310E-04   1.6809985702565917E-03
         1         60   8.9278571158349265E-04   3.6969125130713924E-02   1.5415560780662974E-02   4.9471694779781791E-03
         1         61   5.2221784804668412E-07   1.9596413747519633E-02   4.8593173918281074E-03   2.4434834736768380E-03
         1         62   0.0000000000000000E+00   8.2022464734184970E-03   1.9549902193298740E-04   6.1797568969589023E-04
         1         63   0.0000000000000000E+00   1.0328395992723760E-02   1.9571181955730938E-04   6.4558364856404809E-04
         1         64   3.4650140367904587E-06   3.8190581131909006E-02   1.3945338486097445E-02   6.3641945311456510E-03
         1         65   0.0000000000000000E+00   6.9180720714867279E-04   3.5910582631918116E-06   1.7211033119541515E-05
         1         66   0.0000000000000000E+00   1.2701802561612785E-03   7.4294708049463909E-06   3.4992493965524191E-05
         1         67   0.0000000000000000E+00   1.7410374786566062E-02   4.1245841477765974E-04   1.4086545350272674E-03
         1         68   0.0000000000000000E+00   5.4951743932616661E-04   3.1462854115073905E-06   1.4673136155513611E-05
         1         69   0.0000000000000000E+00   1.9363137548336809E-02   4.1650062768697405E-04   1.4717396459005376E-03
         1         70   1.4625198222484019E-08   2.3869755233691618E-02   9.6164317094946678E-03   4.6309817698928909E-03
         1         71   2.0673461989312351E-03   8.9224804270290323E-02   3.7072987268688330E-02   1.2025396589357168E-02
         1         72   0.0000000000000000E+00   1.1369095870344129E-02   5.6854044949981083E-04   1.0771119501926745E-03
         1         73   0.0000000000000000E+00   1.1732322177213641E-02   5.4926995077265268E-04   1.0632128992038639E-03
         1         74   3.4453632761280099E-02   2.0747984057853600E-01   1.1827708693986573E-01   2.4998862912727633E-02
         1         75   0.0000000000000000E+00   1.6518682018382570E-02   9.3934139214322859E-04   2.1200829880044093E-03
         1         76   0.0000000000000000E+00   9.4183838333023712E-02   4.3920971057971932E-03   1.0531190928906151E-02
         1         77   0.0000000000000000E+00   6.4040549737858655E-03   3.5485341758108746E-04   6.4267631435833592E-04
         1         78   0.0000000000000000E+00   1.6252403453843500E-02   8.9987603023606428E-04   2.0692267261143557E-03
         1         79   0.0000000000000000E+00   6.0986612427357690E-03   3.2946693514853114E-04   5.9016598188810308E-04
