################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.0968888332317473E-02 a         1     0     1     1     1
  9.7795382342577605E-02 a         2     0     1     1     2
 -1.6988268604952939E-01 a         3     0     1     1     3
  9.8729872159978391E-03 a         4     0     1     1     4
 -1.5473047747920393E-01 a         5     0     1     1     5
 -1.7735938757648347E-02 a         6     0     1     1     6
  5.9911929866266735E-02 a         7     0     1     1     7
  1.1092791948286679E-01 a         8     0     1     1     8
  7.5819765773871936E-02 a         9     0     1     1     9
  1.0834267963732060E-01 a        10     0     1     1    10
  8.3633838996719140E-02 a        11     0     1     1    11
  8.2382189633715075E-02 a        12     0     1     1    12
  1.7338060276542850E-02 a        13     0     1     1    13
 -1.9929131862456987E-02 a        14     0     1     1    14
 -1.9500286678814172E-01 a        15     0     1     1    15
 -3.1861050753571422E-02 a        16     0     1     1    16
 -2.1177637943441577E-01 a        17     0     1     1    17
  4.1219526823256053E-02 a        18     0     1     1    18
  1.1273266121690346E-02 a        19     0     1     1    19
 -1.4845554815412107E-01 a        20     0     1     1    20
 -1.1760722519978155E+00 a        21     0     2     1     1
 -3.1357943767712421E-01 a        22     0     2     1     2
 -9.4191171340402502E-02 a        23     0     2     1     3
  6.5024715703611302E-01 a        24     0     2     1     4
 -1.7144264451112443E-01 a        25     0     2     1     5
 -1.5688289498259328E-01 a        26     0     2     1     6
 -1.0326759013094941E-01 a        27     0     2     1     7
 -5.8712280403512701E-02 a        28     0     2     1     8
  7.1309436105814139E-02 a        29     0     2     1     9
  1.3884620652607901E-01 a        30     0     2     1    10
  2.4374765047612355E-02 a        31     0     2     1    11
  8.1988087463253678E-01 a        32     0     2     1    12
 -1.1991427814455195E-02 a        33     0     2     1    13
  1.3111732724315039E-01 a        34     0     2     1    14
  1.9053493290669327E-01 a        35     0     2     1    15
 -2.7909410733181154E-02 a        36     0     2     1    16
  2.2544619021479828E-01 a        37     0     2     1    17
 -3.2888958820272512E-03 a        38     0     2     1    18
  1.9364317923765265E-01 a        39     0     2     1    19
 -4.7997950228753783E-01 a        40     0     2     1    20
 -1.4311609777160983E-01 a        41     0     3     1     1
 -2.7128056569682946E-01 a        42     0     3     1     2
 -1.0782039609162377E-02 a        43     0     3     1     3
  1.0873223295341311E-01 a        44     0     3     1     4
 -5.8497853865788537E-03 a        45     0     3     1     5
  1.4127067558042994E-01 a        46     0     3     1     6
 -4.4242112789278303E-02 a        47     0     3     1     7
  3.9739668332938280E-02 a        48     0     3     1     8
  1.8179007100387987E-01 a        49     0     3     1     9
 -1.5424469885418152E-01 a        50     0     3     1    10
  1.5235010658129869E-01 a        51     0     3     1    11
 -1.4775134270669085E-01 a        52     0     3     1    12
  3.7497419494769107E-03 a        53     0     3     1    13
  6.4001324968603251E-02 a        54     0     3     1    14
 -7.1733375583195161E-02 a        55     0     3     1    15
  2.0112330615041940E-01 a        56     0     3     1    16
 -1.3508837842313576E-01 a        57     0     3     1    17
 -4.1049167955385470E-02 a        58     0     3     1    18
 -1.9750563470723523E-01 a        59     0     3     1    19
 -4.8197829381971896E-02 a        60     0     3     1    20
 -1.7458945572474068E-02 a        61     0     4     1     1
  1.1246179315902018E-01 a        62     0     4     1     2
 -1.7238724213795444E-02 a        63     0     4     1     3
 -9.1306653377088029E-02 a        64     0     4     1     4
 -1.0194229894529255E-02 a        65     0     4     1     5
 -2.9802703169206496E-02 a        66     0     4     1     6
 -1.9487931614531660E-03 a        67     0     4     1     7
 -2.0366534257970129E-01 a        68     0     4     1     8
 -2.6492728413631678E-02 a        69     0     4     1     9
 -1.5587772083386414E-01 a        70     0     4     1    10
 -1.4579014319071899E-02 a        71     0     4     1    11
  6.4910912670358673E-02 a        72     0     4     1    12
  7.3109495400036625E-02 a        73     0     4     1    13
  1.1737186637804037E-01 a        74     0     4     1    14
  7.7455050267016046E-02 a        75     0     4     1    15
  2.6069614520394007E-02 a        76     0     4     1    16
  1.1570239482224995E-01 a        77     0     4     1    17
  1.5963916197404618E-01 a        78     0     4     1    18
 -3.1490141207582853E-02 a        79     0     4     1    19
  6.4520272874348666E-03 a        80     0     4     1    20
  8.8682989813115551E-02 a        81     0     5     1     1
 -2.0464786023875511E-01 a        82     0     5     1     2
 -1.2728651637101998E-01 a        83     0     5     1     3
 -6.5754556074478998E-02 a        84     0     5     1     4
 -1.7075451465879760E-01 a        85     0     5     1     5
 -1.6160662920384528E-02 a        86     0     5     1     6
 -2.4320169447003909E-01 a        87     0     5     1     7
 -1.4172924641058482E-01 a        88     0     5     1     8
  2.2317057877227944E-01 a        89     0     5     1     9
 -4.9871495088375725E-02 a        90     0     5     1    10
 -1.0117266818400562E-01 a        91     0     5     1    11
 -2.9555592099819134E-02 a        92     0     5     1    12
 -2.9163792290000062E-03 a        93     0     5     1    13
 -6.0265903599354000E-02 a        94     0     5     1    14
 -1.0741183741695544E-01 a        95     0     5     1    15
 -1.9506933438181642E-01 a        96     0     5     1    16
  1.2434819103531858E-01 a        97     0     5     1    17
 -1.9542194668914217E-01 a        98     0     5     1    18
  1.5514129256285497E-01 a        99     0     5     1    19
 -2.6421328595858896E-03 a       100     0     5     1    20
  1.2681792644050693E+00 a       101     0     6     1     1
  4.5655189476786090E-01 a       102     0     6     1     2
 -2.4070349415736228E-01 a       103     0     6     1     3
 -3.4723025076548442E-01 a       104     0     6     1     4
 -8.9327967203177677E-02 a       105     0     6     1     5
 -5.4499807859262415E-02 a       106     0     6     1     6
 -1.2167985792075617E-01 a       107     0     6     1     7
 -2.3978992529015597E-01 a       108     0     6     1     8
 -7.6555601583235530E-02 a       109     0     6     1     9
  2.7150766043244623E-01 a       110     0     6     1    10
  5.0173948960289261E-01 a       111     0     6     1    11
 -1.1669774412976981E+00 a       112     0     6     1    12
 -2.5939634214018215E-01 a       113     0     6     1    13
 -5.0786549331754072E-01 a       114     0     6     1    14
  1.4111250209790327E-01 a       115     0     6     1    15
 -1.9290952746891768E-01 a       116     0     6     1    16
 -7.0980015669690344E-01 a       117     0     6     1    17
 -5.0596693384476887E-01 a       118     0     6     1    18
 -4.4549173403608949E-01 a       119     0     6     1    19
  8.6239736128432798E-01 a       120     0     6     1    20
  1.1496027047629330E-01 a       121     0     7     1     1
 -3.3304560014236878E-01 a       122     0     7     1     2
  1.1010474569961590E-01 a       123     0     7     1     3
  3.5402273513541145E-02 a       124     0     7     1     4
 -2.8138957671890185E-02 a       125     0     7     1     5
 -2.2985113870947455E-02 a       126     0     7     1     6
  4.3618829085732125E-01 a       127     0     7     1     7
 -4.2408512729230359E-02 a       128     0     7     1     8
  9.4824285823584667E-02 a       129     0     7     1     9
 -8.9139029160985248E-02 a       130     0     7     1    10
 -1.7051578656796781E-01 a       131     0     7     1    11
  2.9609399596099539E-01 a       132     0     7     1    12
  1.2617510990666710E-02 a       133     0     7     1    13
 -8.5444041983095839E-02 a       134     0     7     1    14
 -9.7606325136849706E-02 a       135     0     7     1    15
  3.6425405081368205E-02 a       136     0     7     1    16
  4.1758671826182446E-02 a       137     0     7     1    17
 -2.0546506124264972E-02 a       138     0     7     1    18
 -2.3012759733839280E-01 a       139     0     7     1    19
  1.5738456658452665E-01 a       140     0     7     1    20
 -4.8587320499698584E-02 a       141     0     8     1     1
 -7.5647307321074650E-02 a       142     0     8     1     2
 -5.2462076865176059E-02 a       143     0     8     1     3
  2.4990461930258770E-01 a       144     0     8     1     4
 -1.7393242287500060E-01 a       145     0     8     1     5
 -1.3258600374744883E-01 a       146     0     8     1     6
  1.4130961016386567E-01 a       147     0     8     1     7
  2.0697184124848164E-01 a       148     0     8     1     8
  1.3336940714999343E-01 a       149     0     8     1     9
  1.6304169664529750E-01 a       150     0     8     1    10
 -6.9922375464186448E-02 a       151     0     8     1    11
 -2.6780511518867156E-01 a       152     0     8     1    12
  9.9750674008795545E-02 a       153     0     8     1    13
 -1.5422560062355459E-01 a       154     0     8     1    14
  1.4786134556411715E-01 a       155     0     8     1    15
 -8.3083553199291504E-02 a       156     0     8     1    16
 -1.5974767752878638E-01 a       157     0     8     1    17
 -2.4663483199158173E-01 a       158     0     8     1    18
 -1.8569271864220591E-01 a       159     0     8     1    19
 -1.7702835131262581E-02 a       160     0     8     1    20
 -1.3852918347122747E-01 a       161     0     9     1     1
  1.3838069241745637E-01 a       162     0     9     1     2
 -1.4148568587874071E-02 a       163     0     9     1     3
 -2.3650054055279099E-01 a       164     0     9     1     4
  1.1525902059726370E-01 a       165     0     9     1     5
 -5.6238589588293655E-02 a       166     0     9     1     6
  4.6155494437686420E-02 a       167     0     9     1     7
 -1.4354623636140101E-01 a       168     0     9     1     8
 -1.5386312773003899E-01 a       169     0     9     1     9
 -6.4044668433396165E-02 a       170     0     9     1    10
  6.3799335444645083E-02 a       171     0     9     1    11
  3.0991922240889400E-02 a       172     0     9     1    12
  6.7575666725884900E-02 a       173     0     9     1    13
  1.1246061312833322E-01 a       174     0     9     1    14
  1.8693510692148718E-01 a       175     0     9     1    15
 -1.6850601344222974E-01 a       176     0     9     1    16
 -6.5031441099750800E-02 a       177     0     9     1    17
