################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   5.7569706082610883E-03   1.1957060310463945E-01   3.2597469107618120E-02   8.9100200616794804E-03
         1          2   0.0000000000000000E+00   2.6716082847167841E-02   7.6222296355704804E-05   5.3908993374464712E-04
         1          3   7.7287877048509354E-02   2.4134673232282300E-01   1.5466023937198670E-01   1.4752802932287526E-02
         1          4   5.9693744443505378E-02   4.8149804129495272E-01   2.0058619516071219E-01   3.9962237388203800E-02
         1          5   0.0000000000000000E+00   2.0355980798195764E-01   1.3903657824147128E-03   7.2374655999529313E-03
         1          6   2.5203018170488095E-01   5.3383040365032264E-01   3.7685064702239707E-01   3.9559640961110386E-02
         1          7   2.1858265030826110E-01   1.1515566400100936E+00   5.8480343125369905E-01   1.2726120231328678E-01
         1          8   0.0000000000000000E+00   7.1283977676569599E-01   1.2062586489182662E-02   4.6463718172379792E-02
         1          9   2.1112091947456371E-01   6.5705274919620560E-01   4.3692804632635296E-01   8.1505469603121675E-02
         1         10   1.5676042342995780E-01   1.8651928032555884E+00   9.5410759958463187E-01   2.2707777628585715E-01
         1         11   0.0000000000000000E+00   1.3394282442733934E+00   5.4390396951285620E-02   1.5274219843391265E-01
         1         12   6.3871512192861482E-02   8.3195272593402603E-01   3.9184038997002435E-01   9.6718581255730240E-02
         1         13   9.3874135878787235E-02   2.0594895040744357E+00   1.0590468584833859E+00   2.7796937597709459E-01
         1         14   0.0000000000000000E+00   1.5830821867936931E+00   1.3999140935188467E-01   2.8647839896282307E-01
         1         15   1.1979107888626824E-02   1.0338311186203613E+00   4.7536311427057992E-01   1.4160446253434231E-01
         1         16   9.8540694386417577E-02   1.8217804794419212E+00   9.7246329585353652E-01   2.7428559192313445E-01
         1         17   0.0000000000000000E+00   1.3187275781344907E+00   2.1965501521350894E-01   3.4852842861885369E-01
         1         18   1.9916945680545684E-02   9.8148618686323852E-01   5.2640877876317982E-01   1.4847041629535057E-01
         1         19   6.8442833368471651E-02   1.2727295493095145E+00   7.3052125590918027E-01   2.1291523413958829E-01
         1         20   0.0000000000000000E+00   8.6890042685704161E-01   2.1824108539688114E-01   2.9373166217074348E-01
         1         21   3.1832866335869112E-02   7.1056328124226364E-01   3.7952678023575376E-01   1.1348113290769057E-01
         1         22   2.4044911336444156E-02   7.1154848988300068E-01   3.9433877957989405E-01   1.2168839271889145E-01
         1         23   0.0000000000000000E+00   4.6122605291813817E-01   1.4128200703608770E-01   1.7152291165411279E-01
         1         24   1.1358271886437454E-02   3.7710857919805979E-01   1.9231466743005149E-01   6.2916839964086715E-02
         1         25   1.3807046816737143E-02   2.7253536078022023E-01   1.4603419631170220E-01   4.7792895611660398E-02
         1         26   0.0000000000000000E+00   1.7695754128316729E-01   5.9730543671404103E-02   6.7571097709923519E-02
         1         27   2.4683325031805000E-03   1.5107530888412468E-01   7.2241921054173638E-02   2.5189432882126224E-02
         1         28   2.9744007851904867E-03   7.1706945326213134E-02   3.5346829346238832E-02   1.2136307321198359E-02
         1         29   0.0000000000000000E+00   4.5407559564034208E-02   1.5667168305560010E-02   1.6856131787137685E-02
         1         30   7.7743549916456693E-04   4.0858324214250667E-02   1.8038826991340413E-02   6.5762764297405008E-03
         1         31   3.0186184612080791E-04   8.3042766043673444E-02   2.4925240126732511E-02   1.0258239695398642E-02
         1         32   0.0000000000000000E+00   3.8408822898800245E-02   1.7290106667357044E-03   3.4560259237908148E-03
         1         33   3.4929957359196673E-03   1.2478382932592577E-01   4.5511758355083920E-02   1.5764528494288506E-02
