################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.6954003209865229E-01 a         1     0     1     1     1
  3.1873053350869462E-01 a         2     0     1     1     2
 -4.5462542714856496E-01 a         3     0     1     1     3
  9.6024123089964453E-01 a         4     0     1     1     4
  1.9194642942128159E-01 a         5     0     1     1     5
  3.5255957730405313E-01 a         6     0     1     1     6
 -4.7015656099829328E-01 a         7     0     1     1     7
  1.7832408896973950E-01 a         8     0     1     1     8
 -1.5822752308674176E-01 a         9     0     1     1     9
 -2.8470564904425155E-01 a        10     0     1     1    10
  6.3579698798757400E-01 a        11     0     1     1    11
 -2.4485418505390086E-01 a        12     0     1     1    12
  6.8436552684973120E-04 a        13     0     1     1    13
 -3.5546512110189404E-01 a        14     0     1     1    14
 -3.4942273937516932E-01 a        15     0     1     1    15
  3.4192896525167776E-01 a        16     0     1     1    16
 -3.2583274231703496E-01 a        17     0     1     1    17
 -1.2667360490174345E-01 a        18     0     1     1    18
 -2.4221808837840672E-01 a        19     0     1     1    19
  3.4312967998968535E-01 a        20     0     1     1    20
 -6.3816171715300254E-03 a        21     0     2     1     1
 -2.1300479674997180E-01 a        22     0     2     1     2
 -2.1294637781649594E-02 a        23     0     2     1     3
  2.0560136195339759E-01 a        24     0     2     1     4
 -9.6915737424410259E-02 a        25     0     2     1     5
  9.3765819782730166E-03 a        26     0     2     1     6
  2.2309118034862485E-01 a        27     0     2     1     7
 -2.1262654028972003E-01 a        28     0     2     1     8
  9.4114240727122725E-02 a        29     0     2     1     9
 -1.6383496656707514E-01 a        30     0     2     1    10
 -1.0494412937706117E-01 a        31     0     2     1    11
  2.2898130246874865E-01 a        32     0     2     1    12
 -4.6905319547233648E-02 a        33     0     2     1    13
  3.9015015476569624E-02 a        34     0     2     1    14
  7.9537167342338660E-03 a        35     0     2     1    15
 -9.9434651938945254E-02 a        36     0     2     1    16
 -1.4211628173267984E-01 a        37     0     2     1    17
 -1.2777382653929795E-01 a        38     0     2     1    18
  7.7582524700184868E-02 a        39     0     2     1    19
 -2.5276314508216868E-01 a        40     0     2     1    20
  1.8720149130496397E-02 a        41     0     3     1     1
